Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
Max,Avg,Min,,,,
79,69.5,64,,,,
77,69.8,66,,,,
77,70.1,66,,,,
73,68.9,66,,,,
77,71.3,68,,,,
75,69.2,64,,,,
77,70.0,64,,,,
86,68.2,63,,,,
88,70.2,63,,,,
79,68.8,63,,,,
77,68.2,61,,,,
79,69.0,63,,,,
82,69.8,61,,,,
86,71.7,59,,,,
82,68.8,64,,,,
81,70.7,63,,,,
81,70.7,63,,,,
81,68.0,59,,,,
77,67.5,63,,,,
75,67.0,63,,,,
77,66.4,57,,,,
79,69.2,63,,,,
75,67.5,64,,,,
70,64.7,61,,,,
72,65.5,61,,,,
73,65.4,61,,,,
77,66.4,61,,,,
79,68.0,61,,,,
79,68.0,63,,,,
82,70.7,63,,,,
Max,Avg,Min,,,,
63,60.6,57,,,,
63,59.8,55,,,,
63,60.8,59,,,,
64,61.9,59,,,,
64,62.0,59,,,,
64,62.4,59,,,,
64,62.1,59,,,,
66,63.6,61,,,,
66,62.8,59,,,,
63,61.1,57,,,,
61,58.9,55,,,,
63,59.6,55,,,,
66,61.1,57,,,,
66,60.5,50,,,,
64,62.9,54,,,,
64,61.1,50,,,,
64,60.0,55,,,,
64,58.8,54,,,,
61,59.0,55,,,,
61,58.8,55,,,,
61,57.8,55,,,,
64,62.5,59,,,,
64,62.5,61,,,,
61,58.8,57,,,,
61,58.9,55,,,,
63,60.0,55,,,,
64,61.8,59,,,,
64,61.5,55,,,,
61,59.7,57,,,,
64,61.6,57,,,,
Max,Avg,Min,,,,
88,74.1,51,,,,
83,71.0,50,,,,
88,72.5,57,,,,
88,78.1,65,,,,
88,73.0,54,,,,
94,78.5,65,,,,
94,76.0,57,,,,
100,87.1,43,,,,
100,80.2,40,,,,
94,77.9,47,,,,
94,74.5,50,,,,
94,73.3,50,,,,
100,76.6,45,,,,
100,73.1,29,,,,
100,84.3,37,,,,
100,74.9,34,,,,
94,71.9,42,,,,
100,75.7,44,,,,
94,76.0,47,,,,
94,77.1,50,,,,
100,76.0,50,,,,
94,80.0,57,,,,
94,83.9,65,,,,
88,81.1,64,,,,
94,80.1,64,,,,
94,83.0,64,,,,
100,85.9,57,,,,
100,80.2,47,,,,
94,76.1,47,,,,
94,75.0,42,,,,
Max,Avg,Min,,,,
6,1.0,0,,,,
6,1.2,0,,,,
7,2.0,0,,,,
8,1.6,0,,,,
10,3.0,0,,,,
6,1.4,0,,,,
9,4.7,0,,,,
12,1.2,0,,,,
5,1.0,0,,,,
6,0.9,0,,,,
6,0.7,0,,,,
7,1.3,0,,,,
9,1.5,0,,,,
8,0.6,0,,,,
0,0.0,0,,,,
8,1.3,0,,,,
6,1.2,0,,,,
7,1.8,0,,,,
8,1.7,0,,,,
6,0.6,0,,,,
7,2.5,0,,,,
6,1.2,0,,,,
7,0.9,0,,,,
9,2.2,0,,,,
7,3.3,0,,,,
6,3.0,0,,,,
8,1.6,0,,,,
6,0.6,0,,,,
5,1.1,0,,,,
6,0.8,0,,,,
Max,Avg,Min,,,,
29.4,29.3,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.3,,,,
29.5,29.4,29.4,,,,
29.5,29.5,29.5,,,,
29.5,29.4,29.4,,,,
29.4,29.4,29.3,,,,
29.4,29.3,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.3,29.3,,,,
29.4,29.3,29.3,,,,
29.4,29.4,29.4,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.3,,,,
29.3,29.3,29.2,,,,
29.4,29.3,29.3,,,,
29.5,29.4,29.4,,,,
29.5,29.4,29.4,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.4,,,,
29.4,29.4,29.4,,,,
29.5,29.4,29.4,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.3,,,,
29.4,29.4,29.4,,,,
29.4,29.4,29.3,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
